sigma_ref_px,condition,ROI_ID,candidate_ID,center_x,center_y,tangent_angle_deg,normal_angle_deg,Direction,channel,filter_method,smoothing_sigma_ref_px,half_level,valid,flag,FWHM,edge_width,CNR,peak_to_noise,background,background_SD,max_gradient,x50_left,x50_right,n_profiles_averaged,within_stack_SD_median,unit
0.0,UV,M4_002,M4_002,23.0,213.0,86.8788277891761,176.8788277891761,X,Lab_a,gaussian,0.0,0.5,True,,14.208582581313346,12.08872335599563,5.473043056007886,7.143576985895086,2.2648686170578003,1.8081550441503524,0.14866525863420543,-7.649073833073103,6.559508748240242,11,0.6644916534423828,common-reference-grid apparent pixels
0.0,NIR,M4_002,M4_002,23.0,213.0,86.8788277891761,176.8788277891761,X,Lab_a,gaussian,0.0,0.5,True,,3.3532341435093826,19.67764013517477,4.854894535380103,7.29159371947673,-7.054714918136597,0.18118222160339353,1.1106724717453624,-3.4488767316587623,-0.09564258814937943,11,0.48795220255851746,common-reference-grid apparent pixels
0.0,UV,M4_005,M4_005,71.0,231.0,78.8274711439505,168.8274711439505,X,Lab_a,gaussian,0.0,0.5,True,,13.4842586409356,14.34415552992053,5.444907753466141,7.102436897185928,5.576129913330078,1.1072918486595154,0.1887629229145238,-6.810927782785092,6.673330858150508,11,0.8669400811195374,common-reference-grid apparent pixels
0.0,NIR,M4_005,M4_005,71.0,231.0,78.8274711439505,168.8274711439505,X,Lab_a,gaussian,0.0,0.5,True,,3.318867180789723,17.309096179908593,7.052758540303197,11.80526289963978,-7.141342639923096,0.17853536796569824,0.710762504816095,-2.5537399234828104,0.7651272573069129,11,0.5134333372116089,common-reference-grid apparent pixels
0.0,UV,M4_008,M4_008,221.0,238.0,98.244480809726,8.244480809726014,X,Lab_a,gaussian,0.0,0.5,True,,12.039465807251103,10.50852073901849,6.495171161950357,17.723590258507382,0.42970047891139984,0.5758887416861951,0.15899374357919704,-8.36223409222297,3.677231715028133,11,0.6720139384269714,common-reference-grid apparent pixels
0.0,NIR,M4_008,M4_008,221.0,238.0,98.244480809726,8.244480809726014,X,Lab_a,gaussian,0.0,0.5,True,,7.935085906304087,17.668830936006106,6.904488186983266,10.330375725342096,-7.468721866607666,0.26674149782802337,0.5371193015280392,-3.7203551567155744,4.2147307495885125,11,0.672017514705658,common-reference-grid apparent pixels
0.0,UV,M4_010,M4_010,76.13637941650013,233.06477771654028,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,0.0,0.5,True,,12.4661880579058,12.217631547387382,6.000944258501049,10.115532932111252,6.265641927719116,0.7300292786942622,0.16022971965788124,-10.478234586044573,1.987953471861226,11,0.8900915384292603,common-reference-grid apparent pixels
0.0,NIR,M4_010,M4_010,76.13637941650013,233.06477771654028,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,0.0,0.5,True,,4.782836428381488,20.4561716171363,7.034012775528223,9.145868764789935,-7.054145812988281,0.1601038923740387,0.9221101608454013,-6.065692167784529,-1.282855739403041,11,0.531012773513794,common-reference-grid apparent pixels
0.0,UV,M4_011,M4_011,75.0,243.0,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,0.0,0.5,True,,19.492842801012387,13.319282182909326,4.309155409234506,5.744888150740917,8.918032169342041,1.5180352942060042,0.17075403697155256,-12.776125196255194,6.716717604757193,11,1.8061444759368896,common-reference-grid apparent pixels
0.0,NIR,M4_011,M4_011,75.0,243.0,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,0.0,0.5,True,,8.114605996596872,15.809710995774921,5.636247952391993,6.142701327556225,-7.282137632369995,0.45992333965301513,0.6780667985470288,-5.073276039484673,3.0413299571121986,11,0.6687445640563965,common-reference-grid apparent pixels
0.5,UV,M4_002,M4_002,23.0,213.0,86.8788277891761,176.8788277891761,X,Lab_a,gaussian,0.5,0.5,True,,14.269637910740801,12.009845674142932,5.402839935157475,7.096185134000048,2.2648686170578003,1.8081550441503524,0.13713429797267707,-7.627044164281281,6.64259374645952,11,0.6644916534423828,common-reference-grid apparent pixels
0.5,NIR,M4_002,M4_002,23.0,213.0,86.8788277891761,176.8788277891761,X,Lab_a,gaussian,0.5,0.5,True,,3.96289128307551,18.248884165132992,4.031964053327966,5.734893406844632,-7.054714918136597,0.18118222160339353,0.43780287848010924,-3.73389023817903,0.2290010448964801,11,0.48795220255851746,common-reference-grid apparent pixels
0.5,UV,M4_005,M4_005,71.0,231.0,78.8274711439505,168.8274711439505,X,Lab_a,gaussian,0.5,0.5,True,,13.507817675745873,14.351975950141448,5.444907753466141,7.068180742376035,5.576129913330078,1.1072918486595154,0.15485621278324802,-6.86774911069064,6.640068565055233,11,0.8669400811195374,common-reference-grid apparent pixels
0.5,NIR,M4_005,M4_005,71.0,231.0,78.8274711439505,168.8274711439505,X,Lab_a,gaussian,0.5,0.5,True,,3.7055232871798376,10.441409391626431,5.450450269875102,10.057522775724266,-7.141342639923096,0.17853536796569824,0.43524019497644595,-2.8672179564716758,0.8383053307081616,11,0.5134333372116089,common-reference-grid apparent pixels
0.5,UV,M4_008,M4_008,221.0,238.0,98.244480809726,8.244480809726014,X,Lab_a,gaussian,0.5,0.5,True,,12.108527140618158,10.487789956792986,6.495171161950357,17.520723853223803,0.42970047891139984,0.5758887416861951,0.1359797819272135,-8.35669517483415,3.7518319657840076,11,0.6720139384269714,common-reference-grid apparent pixels
0.5,NIR,M4_008,M4_008,221.0,238.0,98.244480809726,8.244480809726014,X,Lab_a,gaussian,0.5,0.5,True,,7.352845109675627,8.638876406142485,6.345076878412848,9.936760479264695,-7.468721866607666,0.26674149782802337,0.32925175220897795,-3.8202126894545234,3.5326324202211037,11,0.672017514705658,common-reference-grid apparent pixels
0.5,UV,M4_010,M4_010,76.13637941650013,233.06477771654028,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,0.5,0.5,True,,12.714240588172263,12.219942253547648,5.758783930777402,10.043756271707727,6.265641927719116,0.7300292786942622,0.1444477177894945,-10.625643708576696,2.088596879595566,11,0.8900915384292603,common-reference-grid apparent pixels
